"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G12615",0.0215010438175747,0.286449078962457,2.95661270345986,0.0968842076025892,0.922818350309715,0.956722135333307
"AT1G77120",378.149701215191,-1.43558725684657,0.108441981664493,-13.2382978880643,5.27303469394173e-40,1.57332851295957e-39
"AT1G50590",327.036389379182,-2.01399721657541,0.0919825775754094,-21.8954205205251,2.87242316115248e-106,1.4874165800633e-105
"AT1G17147",451.350415917288,-1.03732330373029,0.0919953012897801,-11.2758291911321,1.72743358579706e-29,4.51009562912572e-29
"AT1G44740",45.0407640492833,-1.44109754176093,0.136676857077159,-10.5438299693077,5.42438101912591e-26,1.35404093554971e-25
"AT1G08005",0,NA,NA,NA,NA,NA
"AT1G24380",0.633215761311212,-0.217701891755394,0.730282496913365,-0.298106407692283,0.765621951165216,0.8652668901452
"AT1G60787",20.4010069921133,-6.84142368586283,0.465520832897861,-14.6962782380223,6.81011673140746e-49,2.23767906795908e-48
"AT1G26796",0.0209915694810849,0.286448448395046,2.95661270345986,0.0968839943289971,0.922818519680651,0.956722135333307
"AT1G68500",65.7402575170736,-0.376819356976173,0.107809553799206,-3.49523157917893,0.000473650600989766,0.000711336710638512
"AT1G15500",9198.406554507,0.104869720784087,0.0414029762636661,2.53290295161987,0.0113122267394563,0.0157555027585212
"AT1G77760",28114.035371811,-5.3033376716797,0.13945696254089,-38.0284897580837,1.95239239456494e-316,2.72419751257821e-315
"AT1G24062",0.0244699855567551,0.286447817827634,2.95661270345986,0.096883781055405,0.92281868905159,0.956722135333307
"AT1G53510",2877.26798916411,-0.0899381365960142,0.0425117697601014,-2.11560556296633,0.0343783683299955,0.0462729795536182
"AT1G51410",0.520977441188459,2.04629697814387,0.857828423214581,2.38543853615351,0.0170587726852034,0.0234780751836773
"AT1G50020",857.56413215674,1.41958856213242,0.0463814052840122,30.6068467188457,9.92360618681869e-206,8.7628449782999e-205
"AT1G22370",1320.86235670117,5.33526902566051,0.155290778172711,34.3566378405725,1.12102130061802e-258,1.23343532054883e-257
"AT1G53265",0,NA,NA,NA,NA,NA
"AT1G17270",276.201301993656,-0.307678287487729,0.0419804323658327,-7.32908810482247,2.31724016245889e-13,4.60966940337378e-13
"AT1G74350",71.0518247042566,0.242199253341942,0.0726708712344753,3.33282440718891,0.000859691810816279,0.00127361920147849
"AT1G75230",476.607679663306,0.344919824785317,0.109581991004438,3.14759589257096,0.00164619100883983,0.00240456339305047
"AT1G29150",3940.84350224881,-0.313503682639561,0.0378124476558961,-8.29101796034292,1.12283326975661e-16,2.39047861314099e-16
"AT1G17140",746.568990949064,1.70161787248243,0.0709840523983664,23.9718333201499,5.47124872647463e-127,3.22874820923038e-126
"AT1G08380",50839.9788778628,8.17655733766582,0.164580092288662,49.6813267264714,0,0
"AT1G43560",1250.28544724788,3.39960491364482,0.0983765469807882,34.5570668820966,1.11631653884234e-261,1.24810140326222e-260
"AT1G07700",842.580105119314,1.72585568294848,0.0717160175279627,24.0651355504445,5.79643196602624e-128,3.43897612763618e-127
"AT1G33750",237.490677167039,-7.34093092952806,0.238423213100322,-30.789497524468,3.62227887287302e-208,3.23678328075352e-207
"AT1G61270",4.53458616198873,-4.48683391362208,0.495220495007814,-9.06027508726447,1.30121975324646e-19,2.92478616670363e-19
"AT1G14750",55.2920304888645,-0.868395716750541,0.100094127220793,-8.67579088666197,4.10686210186987e-18,8.99804222920963e-18
"AT1G05900",438.641207770625,0.678787440178152,0.0753889881886258,9.00380090630481,2.18035356826496e-19,4.8841825400776e-19
"AT1G44120",0.0909822302505029,0.142183880949298,2.68700356606883,0.0529154046331681,0.957799310469734,0.973959479660407
"AT1G52990",3.94328430999437,1.44779869210104,0.335041091298142,4.32125709264925,1.5514278014276e-05,2.48197964788027e-05
"AT1G37130",24677.6384848887,-0.128371520612968,0.056398343314881,-2.27615765052263,0.0228365755977583,0.0311897440560829
"AT1G48175",303.750785956628,0.134975213447188,0.0433947738368139,3.11040250963774,0.00186832558403911,0.00272157741227924
"AT1G72140",1292.32941198293,-3.11760995309597,0.101674579024906,-30.6626295677337,1.79356699439005e-206,1.58884208338239e-205
"AT1G66465",14.9466761426956,0.591900796194707,0.251698619139232,2.35162512300986,0.0186916020022629,0.0256641016877614
"AT1G43260",0.42955004299186,-0.332821671128607,0.846756050906968,-0.39305496638863,0.694278884343308,0.794564568823672
"AT1G14420",5.12078020801374,5.52207207511766,0.492943591373243,11.2022393063966,3.9755535659579e-29,1.03289769466366e-28
"AT1G01710",1292.11916866703,0.286217396609516,0.0296303782241012,9.6595930853393,4.47638447644446e-22,1.05079073570264e-21
"AT1G44000",925.142639240084,2.84648533607439,0.0820454838059729,34.6939917230054,9.70602440258059e-264,1.09446791664619e-262
"AT1G73960",1563.78145706602,0.298027532920283,0.0320573484397623,9.2966994285349,1.44873056564393e-20,3.31996757025836e-20
"AT1G11360",1499.61352394376,-0.0287521128240986,0.0507603151029831,-0.566428966521702,0.571102208188589,0.668039484039749
"AT1G04490",66.9352966769348,-3.30386884380687,0.117920865949099,-28.0176779335473,9.89654598908204e-173,7.49155271030238e-172
"AT1G78476",24.6465965410393,1.09882978871828,0.14227261835282,7.72341017857214,1.13257968710265e-14,2.31576951606932e-14
"AT1G15310",225.905495499468,-1.04921249613313,0.0830916972165336,-12.6271641003904,1.49572148749309e-36,4.28678516805788e-36
"AT1G13300",2035.99078968876,-6.53517272493463,0.179396434723961,-36.4286655695826,1.49771394204279e-290,1.90101857210319e-289
"AT1G55530",1182.96404017314,0.281929210762648,0.0641789270068181,4.39286264060939,1.11867811846027e-05,1.79776885831509e-05
"AT1G47350",0.0910557753754896,0.142183883397594,2.686614924448,0.0529230602062585,0.957793210753105,0.973959479660407
"AT1G74458",70.4051607629995,-2.70361174968123,0.11471290212166,-23.5685062419037,8.11105768790845e-123,4.6642793929034e-122
"AT1G32120",213.43345091241,3.34399954872634,0.0814152124925725,41.0733995078796,0,0
"AT1G17260",76.6766450953756,-0.247902750438025,0.0742594695519599,-3.33833182399136,0.000842830330747017,0.00124950849065869
"AT1G32660",0.0465805345133094,0.142180205465778,2.95661270345986,0.0480888840460562,0.961645405203519,0.973959479660407
"AT1G31480",741.288815516375,-0.724608141378122,0.0505380879180885,-14.3378622189379,1.26904676169093e-46,4.07221763114525e-46
"AT1G17500",2723.36975005343,-1.00151344603788,0.0409977225467846,-24.4285141667322,8.51533697664102e-132,5.185439364812e-131
"AT1G50780",3.33759469809584,-0.795231621281948,0.300056777146116,-2.65027048829062,0.00804273514981948,0.0113162407701374
"AT1G21150",91.2801440567956,0.765854536015214,0.0659288884451536,11.6163726414458,3.40279159175568e-31,9.10227844570224e-31
"AT1G78110",604.005863768161,-0.397324482254908,0.0920690029472275,-4.31550760338577,1.59236570598559e-05,2.54614797197477e-05
"AT1G80080",244.759289411945,7.05692422095431,0.180140496628736,39.1745573761706,0,0
"AT1G23260",1273.39354560174,-0.428022178161023,0.0341905762314644,-12.5187178848167,5.89801673255346e-36,1.67805546975619e-35
"AT1G09790",22.9144754129865,-7.25888021393322,0.465099859871222,-15.6071434120472,6.50865758937053e-55,2.26015012602288e-54
"AT1G60270",396.479169191215,-0.575416424540117,0.135608283727605,-4.24322474057669,2.2033058333968e-05,3.50420058519612e-05
"AT1G25400",1126.51024199151,1.6294841201214,0.170588217029881,9.55214931307928,1.27032997947105e-21,2.95890154158157e-21
"AT1G77980",0.169321048842588,-0.672071063922875,2.06472649873179,-0.325501253718436,0.74480173391286,0.843872893214493
"AT1G43140",70.9892581487751,-7.67716877633904,0.425874268742431,-18.0268434601814,1.19946654323185e-72,4.86375162095904e-72
